rank,symbol,name,last_price,indices
143,DEEPAKNTR,Deepak Nitrite Ltd.,,Nifty 500|Nifty Smallcap 250
144,DELHIVERY,Delhivery Ltd.,,Nifty 500|Nifty Smallcap 100|Nifty Smallcap 250|Nifty Smallcap 50
145,DEVYANI,Devyani International Ltd.,,Nifty 500|Nifty Smallcap 100|Nifty Smallcap 250
146,DIVISLAB,Divi's Laboratories Ltd.,8477.0,Nifty 100|Nifty 200|Nifty 500|Nifty Next 50
147,DIXON,Dixon Technologies (India) Ltd.,14130.0,Nifty 200|Nifty 500|Nifty Midcap 100|Nifty Midcap 150|Nifty Midcap 50
148,LALPATHLAB,Dr. Lal Path Labs Ltd.,,Nifty 500|Nifty Smallcap 100|Nifty Smallcap 250|Nifty Smallcap 50
149,DRREDDY,Dr. Reddy's Laboratories Ltd.,1200.0,Nifty 100|Nifty 200|Nifty 50|Nifty 500
150,EIDPARRY,E.I.D. Parry (India) Ltd.,,Nifty 500|Nifty Smallcap 250
151,EIHOTEL,EIH Ltd.,,Nifty 500|Nifty Smallcap 250
152,EICHERMOT,Eicher Motors Ltd.,8066.5,Nifty 100|Nifty 200|Nifty 50|Nifty 500
153,ELECON,Elecon Engineering Co. Ltd.,,Nifty 500|Nifty Smallcap 250
154,ELGIEQUIP,Elgi Equipments Ltd.,,Nifty 500|Nifty Smallcap 250
155,EMAMILTD,Emami Ltd.,,Nifty 500|Nifty Smallcap 250
156,EMCURE,Emcure Pharmaceuticals Ltd.,,Nifty 500|Nifty Smallcap 250
157,EMMVEE,Emmvee Photovoltaic Power Ltd.,,Nifty 500|Nifty Smallcap 250
158,ENDURANCE,Endurance Technologies Ltd.,,Nifty 500|Nifty Midcap 150
159,ENGINERSIN,Engineers India Ltd.,,Nifty 500|Nifty Smallcap 250
160,ERIS,Eris Lifesciences Ltd.,,Nifty 500|Nifty Smallcap 250
161,ESCORTS,Escorts Kubota Ltd.,,Nifty 500|Nifty Midcap 150
162,ETERNAL,Eternal Ltd.,318.5,Nifty 100|Nifty 200|Nifty 50|Nifty 500
163,EXIDEIND,Exide Industries Ltd.,476.1,Nifty 200|Nifty 500|Nifty Midcap 100|Nifty Midcap 150
164,NYKAA,FSN E-Commerce Ventures Ltd.,331.0,Nifty 200|Nifty 500|Nifty Midcap 100|Nifty Midcap 150|Nifty Midcap 50
165,FEDERALBNK,Federal Bank Ltd.,351.3,Nifty 200|Nifty 500|Nifty Midcap 100|Nifty Midcap 150|Nifty Midcap 50
166,FACT,Fertilisers and Chemicals Travancore Ltd.,,Nifty 500|Nifty Smallcap 250
167,FINCABLES,Finolex Cables Ltd.,,Nifty 500|Nifty Smallcap 250
168,FSL,Firstsource Solutions Ltd.,,Nifty 500|Nifty Smallcap 100|Nifty Smallcap 250
169,FIVESTAR,Five-Star Business Finance Ltd.,,Nifty 500|Nifty Smallcap 100|Nifty Smallcap 250|Nifty Smallcap 50
170,FORCEMOT,Force Motors Ltd.,,Nifty 500|Nifty Smallcap 100|Nifty Smallcap 250
171,FORTIS,Fortis Healthcare Ltd.,929.0,Nifty 200|Nifty 500|Nifty Midcap 100|Nifty Midcap 150|Nifty Midcap 50
172,GAIL,GAIL (India) Ltd.,174.9,Nifty 100|Nifty 200|Nifty 500|Nifty Next 50
173,GVT&D,GE Vernova T&D India Ltd.,4350.0,Nifty 200|Nifty 500|Nifty Midcap 100|Nifty Midcap 150
174,GMRAIRPORT,GMR Airports Ltd.,101.51,Nifty 200|Nifty 500|Nifty Midcap 100|Nifty Midcap 150|Nifty Midcap 50
175,GABRIEL,Gabriel India Ltd.,,Nifty 500|Nifty Smallcap 250
176,GALLANTT,Gallantt Ispat Ltd.,,Nifty 500|Nifty Smallcap 250
177,GRSE,Garden Reach Shipbuilders & Engineers Ltd.,,Nifty 500|Nifty Smallcap 100|Nifty Smallcap 250
178,GICRE,General Insurance Corporation of India,,Nifty 500|Nifty Midcap 150
179,GILLETTE,Gillette India Ltd.,,Nifty 500|Nifty Smallcap 250
180,GLAND,Gland Pharma Ltd.,,Nifty 500|Nifty Smallcap 100|Nifty Smallcap 250|Nifty Smallcap 50
181,GLAXO,Glaxosmithkline Pharmaceuticals Ltd.,,Nifty 500|Nifty Midcap 150
182,GLENMARK,Glenmark Pharmaceuticals Ltd.,2318.4,Nifty 200|Nifty 500|Nifty Midcap 100|Nifty Midcap 150
183,MEDANTA,Global Health Ltd.,,Nifty 500|Nifty Midcap 150
184,GODIGIT,Go Digit General Insurance Ltd.,,Nifty 500|Nifty Smallcap 250
185,GPIL,Godawari Power & Ispat Ltd.,,Nifty 500|Nifty Smallcap 100|Nifty Smallcap 250
186,GODFRYPHLP,Godfrey Phillips India Ltd.,2149.0,Nifty 200|Nifty 500|Nifty Midcap 100|Nifty Midcap 150
187,GODREJCP,Godrej Consumer Products Ltd.,934.3,Nifty 100|Nifty 200|Nifty 500|Nifty Next 50
188,GODREJIND,Godrej Industries Ltd.,,Nifty 500|Nifty Midcap 150
189,GODREJPROP,Godrej Properties Ltd.,1990.0,Nifty 200|Nifty 500|Nifty Midcap 100|Nifty Midcap 150|Nifty Midcap 50
190,GRANULES,Granules India Ltd.,,Nifty 500|Nifty Smallcap 250
191,GRAPHITE,Graphite India Ltd.,,Nifty 500|Nifty Smallcap 250
192,GRASIM,Grasim Industries Ltd.,3248.7,Nifty 100|Nifty 200|Nifty 50|Nifty 500
193,GRAVITA,Gravita India Ltd.,,Nifty 500|Nifty Smallcap 250
194,GESHIP,Great Eastern Shipping Co. Ltd.,,Nifty 500|Nifty Smallcap 100|Nifty Smallcap 250
195,FLUOROCHEM,Gujarat Fluorochemicals Ltd.,,Nifty 500|Nifty Midcap 150
196,GMDCLTD,Gujarat Mineral Development Corporation Ltd.,,Nifty 500|Nifty Smallcap 100|Nifty Smallcap 250
197,HEG,H.E.G. Ltd.,,Nifty 500|Nifty Smallcap 250
198,HBLENGINE,HBL Engineering Ltd.,,Nifty 500|Nifty Smallcap 100|Nifty Smallcap 250
199,HCLTECH,HCL Technologies Ltd.,1360.0,Nifty 100|Nifty 200|Nifty 50|Nifty 500
200,HDBFS,HDB Financial Services Ltd.,,Nifty 500|Nifty Midcap 150
201,HDFCAMC,HDFC Asset Management Company Ltd.,2485.0,Nifty 100|Nifty 200|Nifty 500|Nifty Next 50
202,HDFCBANK,HDFC Bank Ltd.,727.0,Nifty 100|Nifty 200|Nifty 50|Nifty 500
203,HDFCLIFE,HDFC Life Insurance Company Ltd.,535.85,Nifty 100|Nifty 200|Nifty 50|Nifty 500
204,HFCL,HFCL Ltd.,,Nifty 500|Nifty Smallcap 250
205,HAVELLS,Havells India Ltd.,1298.0,Nifty 200|Nifty 500|Nifty Midcap 100|Nifty Midcap 150|Nifty Midcap 50
206,HEROMOTOCO,Hero MotoCorp Ltd.,5790.0,Nifty 200|Nifty 500|Nifty Midcap 100|Nifty Midcap 150|Nifty Midcap 50
207,HEXT,Hexaware Technologies Ltd.,,Nifty 500|Nifty Midcap 150
208,HSCL,Himadri Speciality Chemical Ltd.,,Nifty 500|Nifty Smallcap 100|Nifty Smallcap 250|Nifty Smallcap 50
209,HINDALCO,Hindalco Industries Ltd.,1029.5,Nifty 100|Nifty 200|Nifty 50|Nifty 500
210,HAL,Hindustan Aeronautics Ltd.,5029.9,Nifty 100|Nifty 200|Nifty 500|Nifty Next 50
211,HINDCOPPER,Hindustan Copper Ltd.,,Nifty 500|Nifty Smallcap 100|Nifty Smallcap 250|Nifty Smallcap 50
212,HINDPETRO,Hindustan Petroleum Corporation Ltd.,373.5,Nifty 200|Nifty 500|Nifty Midcap 100|Nifty Midcap 150|Nifty Midcap 50
213,HINDUNILVR,Hindustan Unilever Ltd.,2077.0,Nifty 100|Nifty 200|Nifty 50|Nifty 500
214,HINDZINC,Hindustan Zinc Ltd.,561.9,Nifty 100|Nifty 200|Nifty 500|Nifty Next 50
215,POWERINDIA,Hitachi Energy India Ltd.,35700.0,Nifty 200|Nifty 500|Nifty Midcap 100|Nifty Midcap 150
216,HOMEFIRST,Home First Finance Company India Ltd.,,Nifty 500|Nifty Smallcap 250
217,HONASA,Honasa Consumer Ltd.,,Nifty 500|Nifty Smallcap 250
218,HONAUT,Honeywell Automation India Ltd.,,Nifty 500|Nifty Midcap 150
219,HUDCO,Housing & Urban Development Corporation Ltd.,189.99,Nifty 200|Nifty 500|Nifty Midcap 100|Nifty Midcap 150
220,HYUNDAI,Hyundai Motor India Ltd.,2199.0,Nifty 100|Nifty 200|Nifty 500|Nifty Next 50
221,ICICIBANK,ICICI Bank Ltd.,1417.0,Nifty 100|Nifty 200|Nifty 50|Nifty 500
222,ICICIGI,ICICI Lombard General Insurance Company Ltd.,1630.0,Nifty 200|Nifty 500|Nifty Midcap 100|Nifty Midcap 150|Nifty Midcap 50
